Song ,Film ,Music Director,Lyricist,Singer(s),AB,PB,BH
Tanha tanha ,Angaaray,Aadesh Shrivastava,Javed Akhtar ,"Abhijeet, Alka Yagnik", ,23, 
Bulbula re bulbula ,Aunty No. 1,Anand-Milind ,Sameer ,"Udit Narayan, Alka Yagnik ", , ,13
Chin china china ,Aunty No. 1,Anand-Milind ,Sameer ,"Udit Narayan, Sadhana Sargam, Kumar Sanu, Poornima ", , ,8
Chhora phisal gaya ,Bandhan,Himesh Reshamiyya ,Sudhakar Sharma ,"Udit Narayan, Alka Yagnik ", , ,22
Tere dum se hai mera dum ( dil se tumko chahenge ham),Bandhan,Himesh Reshamiyya ,Sudhakar Sharma,"Kumar Sanu, Alka Yagnik", , ,9
Tere naina mere naino ,Bandhan,Anand Raj Anand ,Arun Bhairav,"Udit Narayan, Kavita Krishnamurthy ", , ,27
Ae ajnabi                ,Dil Se,A.R. Rahman,Gulzar,"Udit Narayan, Mahalakshmi           ", ,6, 
Dil se re        ,Dil Se,A.R. Rahman,Gulzar,A.R. Rahman, ,18, 
Saatrangi re   ,Dil Se,A.R. Rahman,Gulzar,"Sonu Nigam, Kavita Krishnamurthy", ,11, 
Tarum pum tarum pum ,Doli Saja Ke Rakhna,A.R. Rahman,Mehboob ,"Babul Supriyo, Sreenivas  ", ,30, 
Mere mehboob mere sanam    ,Duplicate,Anu Malik,Javed Akhtar ,"Udit Narayan, Alka Yagnik", ,3, 
Awaz do humko ,Dushman,Uttam Singh,Anand Bakshi ,"Lata Mangeshkar, Udit Narayan ", , ,4
Chithi na koi sandesh ,Dushman,Uttam Singh ,Anand Bakshi ,"Jagjit Singh, Lata Mangeshkar", , ,11
"Ek taraf hai  gharwali, ek taraf baharwali",Gharwali Baharwali,Anu Malik ,Dev Kohli,"Anuradha Sriram, Udit Narayan ",Y, , 
Aankhon se tuney kya keh diya ,Ghulam,Jatin-Lalit ,Sameer ,"Alka Yagnik, Kumar Sanu ", , ,2
Chal pyar karegi ,Jab Pyaar Kisise Hota Hai,Jatin-Lalit ,Anand Bakshi ,"Alka Yagnik, Sonu Nigam ", , ,18
Dil main basake ,Jab Pyaar Kisise Hota Hai,Jatin-Lalit ,Anand Bakshi ,"Kumar Sanu, Alka Yagnik ", , ,21
Ek dil tha paas mere ,Jab Pyaar Kisise Hota Hai,Jatin-Lalit ,Anand Bakshi ,"Kumar Sanu, Lata Mangeshkar ", , ,16
Is dil mein kya hai ,Jab Pyaar Kisise Hota Hai,Jatin-Lalit ,Anand Bakshi ,"Udit Narayan, Lata Mangeshkar ", , ,14
Madhosh dil ki dhadkan ,Jab Pyaar Kisise Hota Hai,Jatin-Lalit ,Anand Bakshi ,Kumar Sanu , , ,3
Pehli pehli baar ,Jab Pyaar Kisise Hota Hai,Jatin-Lalit ,Anand Bakshi ,Kumar Sanu , , ,32
"Ajooba hai (phulon mein jo khushbu hai, kaise woh aati hai)     ",Jeans,A.R. Rahman,Javed Akhtar ,"Hariharan, Sadhana Sargam", ,24, 
"Hayé ré, hayé ré,  hayé Rabba",Jeans ,A.R. Rahman ,Javed Akhtar ,"Udit Narayan, Kavita Krishnamurthy ",Y, , 
Chura lo na dil mera ,Kareeb,Anu Malik ,Rahat Indori,"Kumar Sanu, Sanjeevani", , ,25
Tujhe yaad na meri aaye,Kuch Kuch Hota Hai,Jatin-Lalit ,Sameer ,"Udit Narayan, Alka Yagnik, Manpreet Akhtar",8, , 
Akeli na baazar jaaya karo ,Major Saab,Anand Raj Anand,Anand Raj Anand,Udit Narayan , , ,17
Pyar kiya to nibhana ,Major Saab,Anand Raj Anand,Anand Raj Anand,"Anuradha Paudwal, Udit Narayan ", , ,6
O O jaane jaana ,Pyaar Kiya To Darna Kya,Jatin-Lalit,Sameer ,Kamaal Khan  , ,27, 
Orh li chunariya terey naam ki,Pyaar Kiya To Darna Kya,Himesh Reshamiyya  ,Sudhakar Sharma,"Kumar Sanu, Alka Yagnik ",7, , 
Aaj hai sagai ,Pyar To Hona Hi Tha,Jatin-Lalit ,Sameer ,"Asha Bhosle, Udit Narayan ", , ,24
Aashiq hoon main ,Pyar To Hona Hi Tha,Jatin-Lalit ,Sameer ,"Asha Bhosle, Udit Narayan", , ,31
Mujh pe bhi jawani chhaee hai,Saat Rang Ke Sapne,Nadeem-Shravan ,Sameer ,Kavita Krishnamurthy ,Y, , 
Baadalon se ,Satya,Vishal Bhardwaj,Gulzar ,Bhupinder Singh, ,29, 
Sapnon mein milti hai kudi,Satya ,Vishal Bhardwaj,Gulzar ,"Asha Bhosle, Suresh Wadkar   ",Y, , 
Tu mere paas bhi hai ,Satya,Vishal Bhardwaj,Gulzar ,"Lata Mangeshkar, Hariharan", ,21, 
Mehfil mein baar baar ,Soldier,Anu Malik ,Sameer ,"Alka Yagnik, Kumar Sanu ", , ,30
"Merey khwabon mein jo aaye (aayega, aayega, aayega saajan)",Soldier ,Anu Malik ,Sameer ,Alka Yagnik ,Y, , 
"Tera rang balley-balley, tera roop  balley-balley (naiyon naiyon mainu dil tera)",Soldier ,Anu Malik ,Sameer ,"Jaspinder Narula, Sonu Nigam ",9, , 
Hum yahan    ,Zakhm,M.M. Kreem,Anand Bakshi ,Alka Yagnik/Kumar Sanu, ,22, 
Tere pyar mein           ,Zor,Agosh,Anand Bakshi ,"Shankar Mahadevan, Hema Sardesai", ,9, 
